date,SET,StTimes,KLSE
5/3/2002,-0.636919367,0.731556617,-0.840841279
5/10/2002,2.126670463,-0.291059061,-0.773121587
5/17/2002,-1.015370676,-0.134887441,-0.087541794
5/24/2002,3.598892909,-0.653952653,-2.8308331
5/31/2002,3.967772511,-2.974159673,-3.19736447
6/7/2002,2.270814536,-1.16657812,1.797011556
6/14/2002,1.217014914,-2.74109094,-0.891129245
6/21/2002,-6.599778059,-3.901548098,-0.691756676
6/28/2002,-1.62132643,0.434302106,-2.438862974
7/5/2002,3.037439279,5.545306798,2.609565382
7/12/2002,-0.109758542,-1.685740338,-0.642655819
7/19/2002,-1.607723356,-3.397013115,-1.823650957
7/26/2002,-7.31192912,-4.288906211,-1.214536564
8/2/2002,1.082881411,1.012466338,0.253263334
8/9/2002,-0.919291113,-1.540391522,0.505993275
8/16/2002,1.61062798,2.378651462,1.838685018
8/23/2002,-1.626974972,0.608939515,-0.901416859
8/30/2002,-1.60680222,-2.873989356,-2.585220464
9/6/2002,-2.129615539,-3.133572434,-2.457699568
9/13/2002,1.013094355,-0.73611086,-0.839137435
9/20/2002,-1.588925296,-0.769010775,-2.29999925
9/27/2002,-3.709280125,-3.373582841,-3.830771427
10/4/2002,0.647403827,-0.461069007,-0.506408609
10/11/2002,-3.131353812,0.446510741,-0.98450716
10/18/2002,3.582055503,5.955136636,2.068520246
10/25/2002,1.736858343,0.965841555,0.69942663
11/1/2002,2.611528593,-0.596833657,0.591524249
11/8/2002,-0.752094245,-2.593178866,-0.439127011
11/15/2002,0.348687154,-0.778668799,-1.349134341
11/22/2002,1.766805833,0.617238067,-1.361326384
11/29/2002,0.63506241,-2.279203785,-1.56112731
12/6/2002,0.052055509,-1.885390642,-1.739397327
12/13/2002,-2.465152767,0.141967518,2.211881597
12/22/2002,-1.753064535,-2.220481407,0.91795044
12/27/2002,1.831641179,0.308320793,1.918687878
1/3/2003,0.210169474,-0.123065005,-2.63121832
1/10/2003,0.875144939,-0.361866848,-1.098354004
1/17/2003,1.866643892,2.349548479,6.779198473
1/24/2003,2.458897725,-0.645170631,-0.256843064
1/31/2003,-1.68566653,-5.015298158,-0.505153782
2/7/2003,2.387423796,-0.48117686,-0.631649282
2/14/2003,-2.739384306,-0.932442304,-0.652407108
2/21/2003,-2.521280428,3.210616849,-0.375160569
2/28/2003,0.496636937,-3.181566824,-1.181917869
3/7/2003,-0.78911218,-3.816463168,-1.73732985
3/14/2003,-0.066971763,1.996812449,-1.124824984
3/21/2003,1.490621344,5.843270392,0.574276596
3/28/2003,1.61225616,-0.583837277,0.440365946
4/4/2003,0.647373663,-0.357121527,-0.592339254
4/11/2003,3.026883096,-0.972184729,-0.241097745
4/18/2003,0.296929346,-1.43294769,0.935753291
4/25/2003,-4.24216695,-4.250435746,-1.247502999
5/2/2003,1.804370182,5.544934655,-0.074900999
5/9/2003,2.390971763,0.795766268,0.458088919
5/16/2003,-0.344054971,-0.35876742,0.966526791
5/23/2003,3.216636565,1.008757911,2.271800859
5/30/2003,2.076787929,2.314192524,3.112915264
6/6/2003,3.501446459,6.475856735,1.49445144
6/13/2003,2.306940095,2.744685834,1.220567683
6/20/2003,5.608819213,2.658854761,-1.093002618
6/27/2003,1.06574506,-2.765042398,1.31162308
7/4/2003,8.02125088,0.574231412,4.753252557
7/11/2003,-2.312088383,3.867090446,-0.167010618
7/18/2003,1.769993928,2.311191235,-1.024710095
7/25/2003,-1.673011718,-0.891396643,-0.839498992
8/1/2003,1.368313032,-0.630601864,1.743954464
8/8/2003,2.344438559,-1.458161053,-0.113475975
8/15/2003,3.09932461,3.821665118,0.868539705
8/22/2003,2.993059214,2.836477574,2.016564468
8/29/2003,0.540783774,-2.527731944,-0.006726533
9/5/2003,3.669902123,1.155715688,1.757636361
9/12/2003,1.875421249,-2.096819282,-2.075644498
9/19/2003,-0.204300957,0.352222863,0.4349853
9/26/2003,2.379737414,2.342371033,-0.262380818
10/3/2003,-3.955888385,2.593357864,-0.272527523
10/10/2003,4.176005066,4.434711565,6.594761976
10/17/2003,1.101868932,1.48600605,-1.222887143
10/24/2003,3.448185671,-2.237949805,2.94947838
10/31/2003,4.837973937,-0.535198447,1.565201082
11/7/2003,4.816070509,2.598634545,-1.273494642
11/14/2003,-2.050689908,-1.846701329,-1.819926279
11/21/2003,-6.919607968,-4.683867466,-0.984342317
11/28/2003,5.177978412,3.367021804,-0.663791406
12/5/2003,2.031755607,1.102419056,0.983241867
12/12/2003,2.273404551,-0.304560256,0.628279624
12/19/2003,5.016952582,-0.98414656,-2.841984456
12/26/2003,3.565375841,1.128740508,1.325377358
1/2/2004,4.945800352,3.471517789,1.080016363
1/9/2004,1.451564774,3.358274685,4.577262369
1/16/2004,-0.64025624,-0.848923622,-0.992283008
1/23/2004,-3.131616483,2.828096156,0.900166256
1/30/2004,-7.64680817,-2.204523829,-0.696035908
2/6/2004,1.737570753,0.326782673,-0.430750317
2/13/2004,6.007275341,0.519568304,1.278249082
2/20/2004,-3.577634855,1.475591559,3.88872258
2/27/2004,-1.708070925,-0.16664863,2.368486341
3/5/2004,-2.217623644,0.15396136,0.782833854
3/12/2004,-0.789589033,-3.030323482,-0.180719539
3/19/2004,-2.006824351,0.219911906,2.224798303
3/26/2004,-2.379579349,-0.655171277,-1.036923665
4/2/2004,4.104023451,2.877562633,-0.872956409
4/9/2004,-0.24990804,1.135279235,-0.480110274
4/16/2004,2.965470687,-2.552382886,-2.439229193
4/23/2004,-4.350508156,0.733552836,1.576032299
4/30/2004,-5.073153824,-1.38073774,-4.352648598
5/7/2004,-1.766651652,0.091704544,-0.339392527
5/14/2004,-4.345579914,-4.933920515,-5.082906332
5/21/2004,0.928887696,0.696728435,-0.307789584
5/28/2004,3.697390855,1.122560959,2.113868344
6/4/2004,-1.916173279,0.252593124,-0.697593534
6/11/2004,-2.152390288,1.739539941,2.642827462
6/18/2004,1.550393562,-1.744005074,-0.290357076
6/25/2004,3.361780526,0.773947752,0.27943839
7/2/2004,0.552816973,1.854165886,0.77950253
7/9/2004,2.894826842,1.226591556,2.775680646
7/16/2004,-3.120539634,0.505692788,-1.344976101
7/23/2004,0.364597416,-1.139804856,-0.529495243
7/30/2004,-1.831715506,2.215501217,-0.504731424
8/6/2004,-4.129983235,1.627527103,-1.678313721
8/13/2004,-3.679330846,-2.627909989,-0.547772382
8/20/2004,1.630461748,1.170454547,-0.880498765
8/27/2004,3.5402944,1.100558758,1.597619197
9/3/2004,1.434542692,1.07205533,2.454147779
9/10/2004,1.814680255,1.595730857,0.991622542
9/17/2004,4.297515405,1.806025025,1.095949447
9/24/2004,-2.135602915,-1.513725088,-0.506129432
10/1/2004,1.00773749,0.388408924,-0.162644471
10/8/2004,2.231320795,1.162243602,0.833819211
10/15/2004,-4.178378204,-2.105531999,-1.143456925
10/22/2004,1.616824128,0.230557333,0.303782261
10/29/2004,-4.800449307,0.690014289,0.846642414
11/5/2004,1.097181004,1.755598755,1.193582292
11/12/2004,0.729512268,1.119336441,1.232788439
11/19/2004,1.809275166,-0.012264912,1.656850617
11/26/2004,-0.410716099,-0.480987688,1.301373437
12/3/2004,2.29937221,1.621058429,0.918980152
12/10/2004,-2.29474804,-2.219365182,-2.532982943
12/17/2004,3.137774108,2.04458919,0.975954064
12/24/2004,0.132854678,-0.117660228,0.464037956
12/31/2004,-0.336210112,0.513381529,0.02534952
1/7/2005,4.355198719,0.936486183,0.970556664
1/14/2005,0.545910609,-0.454141026,1.458298235
1/21/2005,-0.687877665,0.445030435,-0.002151162
1/28/2005,0.687877665,0.197370061,-1.352520685
2/4/2005,2.455147389,1.145360348,-1.064265423
2/11/2005,0.982502887,1.689858611,0.811009532
2/18/2005,1.544062923,0.891990557,-0.785668949
2/25/2005,0.343815058,-1.569756718,-0.468183225
3/4/2005,-1.582643387,0.907776834,-2.032672118
3/11/2005,-2.423350491,0.687335614,1.804412113
3/18/2005,0.05905595,0.23389131,-0.829880281
3/25/2005,-3.443488244,-1.065212086,-1.192767601
4/1/2005,1.230540055,-0.358540149,-0.85033366
4/8/2005,-1.749839877,1.765775739,-1.367884588
4/15/2005,2.10131896,-1.463957616,1.177045926
4/22/2005,-3.057968749,-0.621395283,0.402961682
4/29/2005,-2.749905713,-0.547141782,0.134339763
5/6/2005,4.522220709,1.678343455,2.501001055
5/13/2005,-1.498051355,0.482357976,-1.100101467
5/20/2005,-1.253572604,0.096653051,-0.923067872
5/27/2005,-1.074868121,-0.881148461,-1.604800802
6/3/2005,1.97293331,1.746847659,-0.37233687
6/10/2005,0.483534273,1.258089151,2.749760355
6/17/2005,0.95719721,-0.509304466,0.787881507
6/24/2005,0.541849274,0.657364302,0.113640174
7/1/2005,-2.160069341,-0.621157834,-0.453100491
7/8/2005,-4.882643426,0.27293654,1.066970509
7/15/2005,1.871055608,1.535984056,1.453512365
7/22/2005,-1.002783668,3.022356565,2.461705861
7/29/2005,4.039534863,1.422143449,-0.245061601
8/5/2005,1.518741371,-0.583619018,0.640155312
8/12/2005,-0.593586351,-1.536844643,-0.677499999
8/19/2005,-0.164369928,-0.733842703,-1.23486198
8/26/2005,2.187895977,0.008309807,-0.776610264
9/2/2005,2.003111375,0.625187325,-1.006815395
9/9/2005,0.395010178,0.016948526,0.956714648
9/16/2005,-0.636155948,0.221370591,0.442413666
9/23/2005,2.378789175,-0.580074766,-0.010846693
9/30/2005,-0.287185915,0.526296401,0.611000965
10/7/2005,-1.989997313,0.004338037,-0.251518146
10/14/2005,-1.271841133,-0.08679652,0.041063325
10/21/2005,-1.992520273,-2.812671655,-1.744841751
10/28/2005,-0.578754374,-2.118871537,-0.417546341
11/4/2005,3.454480389,3.324422015,0.893554917
11/11/2005,-2.259740454,-0.021621383,-1.718329289
11/18/2005,-2.054415786,1.191882035,0.374430321
11/25/2005,-0.968588126,0.110265367,0.283499636
12/2/2005,-1.501005772,1.589835247,-2.139322236
12/9/2005,5.574307845,-0.490801695,1.475826365
12/16/2005,-0.946072676,0.190675881,-0.550325946
12/23/2005,1.119339515,0.118612251,-0.13889669
12/30/2005,2.092553064,0.814867961,0.854954089
1/6/2006,4.601549597,3.079050639,1.311667972
1/13/2006,1.115070167,-0.616585055,0.025225245
1/20/2006,-1.06691092,-0.707023303,-0.714245516
1/27/2006,1.798626325,0.965225084,0.945363253
2/3/2006,-1.880243145,0.810938009,1.502856948
2/10/2006,-1.214698875,-0.334891391,-0.815951198
2/17/2006,0.173275077,0.319263371,0.667109547
2/24/2006,0.330824324,0.914231722,-0.16852298
3/3/2006,1.550335695,1.60744097,-0.866530202
3/10/2006,-3.403475163,0.132260308,0.54707052
3/17/2006,1.80324835,-0.09296474,0.071561009
3/24/2006,-1.437251355,0.116192428,0.375397339
3/31/2006,0.327846752,1.43481215,0.058292674
4/7/2006,4.933228661,0.73346837,1.826456667
4/14/2006,-1.953187092,-0.300995237,-0.572787335
4/21/2006,2.306954169,2.295048313,1.04638619
4/28/2006,-0.61893992,0.278472647,0.109622551
5/5/2006,-0.009111558,0.828136021,1.271862262
5/12/2006,1.841777195,-0.450790788,0.484584046
5/19/2006,-4.732606077,-4.951583934,-2.26657875
5/26/2006,-3.939491401,-1.982652513,-1.455909246
6/2/2006,0.70967099,-1.052546083,-0.003223259
6/9/2006,-7.498019201,-3.447152862,-1.659735194
6/16/2006,-0.751613061,1.548207137,-2.421479362
6/23/2006,-0.886103722,-1.309342123,1.426817698
6/30/2006,2.782671227,3.866194444,0.917069847
7/7/2006,1.169895475,0.399138327,1.181374968
7/14/2006,-3.6391936,-3.393356515,-1.297328424
7/21/2006,3.58087691,0.330312111,1.20653135
7/28/2006,0.830711895,2.419293091,1.075603021
8/4/2006,1.699318877,1.368685978,0.349226877
8/11/2006,0.72820326,-0.500250354,0.455256974
8/18/2006,0.009880656,1.333580086,-0.028658313
8/25/2006,-2.770601224,-1.228356415,0.900392869
9/1/2006,1.055171204,1.548355401,1.064257302
9/8/2006,-0.573116984,0.74576034,-0.41619136
9/15/2006,1.170090948,0.467802246,0.239078462
9/22/2006,-2.734703667,-0.05592564,0.648576761
9/29/2006,0.641904223,1.900492619,0.240068825
10/6/2006,1.231275061,3.083323343,0.35387676
10/13/2006,2.481199336,0.653879884,1.285243732
10/20/2006,1.79959346,0.737892164,-0.443260879
